attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
46,warm,4j2tUJYz6mi379wN9K5f4UAeSM582fPKATaz6JNYxHgKSR6DbvVdnqhe8rT9uUbpG4o2DtZgTpWH2YbPLmCHybYN,0,1,1218746334215347,1218746334235968,1218746334275988,0,20621,40020,60641,0,0,0,send_fail,0,0,0,0
47,warm,3UTaKRGMw7nRFjWTbM7DEbEp5FJYTTAA8nsru2d1pztwuZboetW3eL9UjfgMJ1AfZMjUh2cnSqa5KCNFawEseFXy,0,1,1218746727568091,1218746727585607,1218746727633549,0,17516,47942,65458,0,0,0,send_fail,0,0,0,0
48,warm,4ABFGoLKf3aAcWpJR8VtuqFVcKb5DezyyMQA8jr3eyGEYjrhx4f5WFMfkfs586NGYYo4FXqQxmzLcpA5Wb7HLhjr,0,1,1218747144041963,1218747144058838,1218747144101683,0,16875,42845,59720,0,0,0,send_fail,0,0,0,0
49,warm,3YTUkJir4UeL9eDiPezezgroKUYB3z3R6SLwyTxMGwrka75v1z8FBKNPZmfz1kEitBcHKcYW1NoDXrXosczRUuWC,0,1,1218747569650133,1218747569664194,1218747569709162,0,14061,44968,59029,0,0,0,send_fail,0,0,0,0
50,warm,2XLEzPtZ54jjPQNZx7r9SfLeUW1mfZDYTmEKiZyq9pctMNiZCQ1NQetQ9PQLNrMPyTxvDpg5BDHLZZnnpktF3bJK,0,1,1218747970129912,1218747970147399,1218747970192216,0,17487,44817,62304,0,0,0,send_fail,0,0,0,0
51,warm,2xXMvPHXBttjbYtonkWLaDRxgLeKPqC68xsv5P8bCpriaYrG46BxrJYtjeMJwdvyvaK4DEnYfBrAM9kujJMQZbvG,0,1,1218748369163842,1218748369178804,1218748369219045,0,14962,40241,55203,0,0,0,send_fail,0,0,0,0
52,warm,5NucMwffBz4wPxpYJwr58DQ1yFEHNaAu9zZAz9465ZkZiHoQHSJDKoazJtV3xiJ1R3KLhxoBqhpg1PXCviemUPh5,0,1,1218748779457790,1218748779475486,1218748779517459,0,17696,41973,59669,0,0,0,send_fail,0,0,0,0
53,warm,U9R7nNhnZayyhhWMcghnoKXqiXPGKmwmD3bbxe4kj1LYfjtpgHTwqPipzCXJM4bBLQhaD8ChQpgtksWi91cbqB4,0,1,1218749173015571,1218749173032176,1218749173073237,0,16605,41061,57666,0,0,0,send_fail,0,0,0,0
54,warm,48Ai2bhu5nbn67zqKK8s4JL9Yj7Hm6ZKG4YmhJxRAqrjdPsHqxCJa2SZPM1SPWgyK4QCgCJ5nvQ2Gk7aP7MNZ8tt,0,1,1218749571607207,1218749571625364,1218749571665404,0,18157,40040,58197,0,0,0,send_fail,0,0,0,0
55,warm,28vtax2RU5teQAw5jq2xRKiRXr9a3z55pKtYj6sxzUjvyz7q8piqEJN11qEFDxkaRSq85cnPzZXvrypw8QfSYpXy,0,1,1218749970670230,1218749970686935,1218749970718172,0,16705,31237,47942,0,0,0,send_fail,0,0,0,0
